Menu Item,Serving Size,Calories,Calories from Fat,Total Fat,Sat Fat,Trans Fat,Chol,Sodium,Total Carbs,Fiber,Sugars,Protein
Units,quanitity,Kcals,kcals,g,g,g,mg,mg,g,g,g,g
The Farmer,1,980,504,56,20,0,570,1540,72,1,14,37
The Fit,1,580,387,43,12,0,50,840,28,0,1,20
The Southern,1,660,333,37,17,0,230,1550,50,0,3,29
The Sticky Chin,1,980,477,53,23,0,345,2140,70,0,16,43
The Toast,1,990,378,42,16,0,350,1770,115,0,49,30
